"","FIPS","State","County.Name","RUCC2013"
"1",1001,"AL","Autauga County",2
"2",1003,"AL","Baldwin County",3
"3",1005,"AL","Barbour County",6
"4",1007,"AL","Bibb County",1
"5",1009,"AL","Blount County",1
"6",1011,"AL","Bullock County",6
"7",1013,"AL","Butler County",6
"8",1015,"AL","Calhoun County",3
"9",1017,"AL","Chambers County",6
"10",1019,"AL","Cherokee County",6
"11",1021,"AL","Chilton County",1
"12",1023,"AL","Choctaw County",9
"13",1025,"AL","Clarke County",7
"14",1027,"AL","Clay County",9
"15",1029,"AL","Cleburne County",8
"16",1031,"AL","Coffee County",4
"17",1033,"AL","Colbert County",3
"18",1035,"AL","Conecuh County",7
"19",1037,"AL","Coosa County",8
"20",1039,"AL","Covington County",6
"21",1041,"AL","Crenshaw County",8
"22",1043,"AL","Cullman County",4
"23",1045,"AL","Dale County",4
"24",1047,"AL","Dallas County",4
"25",1049,"AL","DeKalb County",6
"26",1051,"AL","Elmore County",2
"27",1053,"AL","Escambia County",6
"28",1055,"AL","Etowah County",3
"29",1057,"AL","Fayette County",6
"30",1059,"AL","Franklin County",6
"31",1061,"AL","Geneva County",3
"32",1063,"AL","Greene County",8
"33",1065,"AL","Hale County",3
"34",1067,"AL","Henry County",3
"35",1069,"AL","Houston County",3
"36",1071,"AL","Jackson County",6
"37",1073,"AL","Jefferson County",1
"38",1075,"AL","Lamar County",8
"39",1077,"AL","Lauderdale County",3
"40",1079,"AL","Lawrence County",3
"41",1081,"AL","Lee County",3
"42",1083,"AL","Limestone County",2
"43",1085,"AL","Lowndes County",2
"44",1087,"AL","Macon County",6
"45",1089,"AL","Madison County",2
"46",1091,"AL","Marengo County",7
"47",1093,"AL","Marion County",7
"48",1095,"AL","Marshall County",4
"49",1097,"AL","Mobile County",2
"50",1099,"AL","Monroe County",7
"51",1101,"AL","Montgomery County",2
"52",1103,"AL","Morgan County",3
"53",1105,"AL","Perry County",8
"54",1107,"AL","Pickens County",3
"55",1109,"AL","Pike County",6
"56",1111,"AL","Randolph County",6
"57",1113,"AL","Russell County",2
"58",1115,"AL","St. Clair County",1
"59",1117,"AL","Shelby County",1
"60",1119,"AL","Sumter County",8
"61",1121,"AL","Talladega County",4
"62",1123,"AL","Tallapoosa County",6
"63",1125,"AL","Tuscaloosa County",3
"64",1127,"AL","Walker County",1
"65",1129,"AL","Washington County",8
"66",1131,"AL","Wilcox County",9
"67",1133,"AL","Winston County",6
"68",2013,"AK","Aleutians East Borough",9
"69",2016,"AK","Aleutians West Census Area",9
"70",2020,"AK","Anchorage Municipality",2
"71",2050,"AK","Bethel Census Area",7
"72",2060,"AK","Bristol Bay Borough",9
"73",2068,"AK","Denali Borough",8
"74",2070,"AK","Dillingham Census Area",9
"75",2090,"AK","Fairbanks North Star Borough",3
"76",2100,"AK","Haines Borough",9
"77",2105,"AK","Hoonah-Angoon Census Area, AK",9
"78",2110,"AK","Juneau City and Borough",5
"79",2122,"AK","Kenai Peninsula Borough",7
"80",2130,"AK","Ketchikan Gateway Borough",7
"81",2150,"AK","Kodiak Island Borough",7
"82",2164,"AK","Lake and Peninsula Borough",9
"83",2170,"AK","Matanuska-Susitna Borough",2
"84",2180,"AK","Nome Census Area",7
"85",2185,"AK","North Slope Borough",7
"86",2188,"AK","Northwest Arctic Borough",7
"87",2195,"AK","Petersburg Census area",9
"88",2198,"AK","Price of Wales Hyder Census Area",9
"89",2220,"AK","Sitka City and Borough",7
"90",2230,"AK","Skagway Municipality",9
"91",2240,"AK","Southeast Fairbanks Census Area",9
"92",2261,"AK","Valdez-Cordova Census Area",9
"93",2270,"AK","Wade Hampton Census Area",9
"94",2275,"AK","Wrangell City and Borough",9
"95",2282,"AK","Yakutat City and Borough",9
"96",2290,"AK","Yukon-Koyukuk Census Area",9
"97",4001,"AZ","Apache County",6
"98",4003,"AZ","Cochise County",3
"99",4005,"AZ","Coconino County",3
"100",4007,"AZ","Gila County",4
"101",4009,"AZ","Graham County",7
"102",4011,"AZ","Greenlee County",7
"103",4012,"AZ","La Paz County",6
"104",4013,"AZ","Maricopa County",1
"105",4015,"AZ","Mohave County",3
"106",4017,"AZ","Navajo County",4
"107",4019,"AZ","Pima County",2
"108",4021,"AZ","Pinal County",1
"109",4023,"AZ","Santa Cruz County",4
"110",4025,"AZ","Yavapai County",3
"111",4027,"AZ","Yuma County",3
"112",5001,"AR","Arkansas County",6
"113",5003,"AR","Ashley County",7
"114",5005,"AR","Baxter County",7
"115",5007,"AR","Benton County",2
"116",5009,"AR","Boone County",7
"117",5011,"AR","Bradley County",7
"118",5013,"AR","Calhoun County",9
"119",5015,"AR","Carroll County",6
"120",5017,"AR","Chicot County",7
"121",5019,"AR","Clark County",7
"122",5021,"AR","Clay County",7
"123",5023,"AR","Cleburne County",6
"124",5025,"AR","Cleveland County",3
"125",5027,"AR","Columbia County",7
"126",5029,"AR","Conway County",6
"127",5031,"AR","Craighead County",3
"128",5033,"AR","Crawford County",2
"129",5035,"AR","Crittenden County",1
"130",5037,"AR","Cross County",6
"131",5039,"AR","Dallas County",6
"132",5041,"AR","Desha County",6
"133",5043,"AR","Drew County",6
"134",5045,"AR","Faulkner County",2
"135",5047,"AR","Franklin County",6
"136",5049,"AR","Fulton County",9
"137",5051,"AR","Garland County",3
"138",5053,"AR","Grant County",2
"139",5055,"AR","Greene County",4
"140",5057,"AR","Hempstead County",6
"141",5059,"AR","Hot Spring County",6
"142",5061,"AR","Howard County",6
"143",5063,"AR","Independence County",7
"144",5065,"AR","Izard County",9
"145",5067,"AR","Jackson County",6
"146",5069,"AR","Jefferson County",3
"147",5071,"AR","Johnson County",7
"148",5073,"AR","Lafayette County",8
"149",5075,"AR","Lawrence County",6
"150",5077,"AR","Lee County",7
"151",5079,"AR","Lincoln County",3
"152",5081,"AR","Little River County",3
"153",5083,"AR","Logan County",6
"154",5085,"AR","Lonoke County",2
"155",5087,"AR","Madison County",2
"156",5089,"AR","Marion County",9
"157",5091,"AR","Miller County",3
"158",5093,"AR","Mississippi County",4
"159",5095,"AR","Monroe County",7
"160",5097,"AR","Montgomery County",8
"161",5099,"AR","Nevada County",7
"162",5101,"AR","Newton County",9
"163",5103,"AR","Ouachita County",7
"164",5105,"AR","Perry County",2
"165",5107,"AR","Phillips County",6
"166",5109,"AR","Pike County",9
"167",5111,"AR","Poinsett County",3
"168",5113,"AR","Polk County",7
"169",5115,"AR","Pope County",5
"170",5117,"AR","Prairie County",8
"171",5119,"AR","Pulaski County",2
"172",5121,"AR","Randolph County",7
"173",5123,"AR","St. Francis County",6
"174",5125,"AR","Saline County",2
"175",5127,"AR","Scott County",6
"176",5129,"AR","Searcy County",9
"177",5131,"AR","Sebastian County",2
"178",5133,"AR","Sevier County",6
"179",5135,"AR","Sharp County",7
"180",5137,"AR","Stone County",9
"181",5139,"AR","Union County",7
"182",5141,"AR","Van Buren County",8
"183",5143,"AR","Washington County",2
"184",5145,"AR","White County",4
"185",5147,"AR","Woodruff County",9
"186",5149,"AR","Yell County",6
"187",6001,"CA","Alameda County",1
"188",6003,"CA","Alpine County",8
"189",6005,"CA","Amador County",6
"190",6007,"CA","Butte County",3
"191",6009,"CA","Calaveras County",6
"192",6011,"CA","Colusa County",6
"193",6013,"CA","Contra Costa County",1
"194",6015,"CA","Del Norte County",7
"195",6017,"CA","El Dorado County",1
"196",6019,"CA","Fresno County",2
"197",6021,"CA","Glenn County",6
"198",6023,"CA","Humboldt County",5
"199",6025,"CA","Imperial County",3
"200",6027,"CA","Inyo County",7
"201",6029,"CA","Kern County",2
"202",6031,"CA","Kings County",3
"203",6033,"CA","Lake County",4
"204",6035,"CA","Lassen County",7
"205",6037,"CA","Los Angeles County",1
"206",6039,"CA","Madera County",3
"207",6041,"CA","Marin County",1
"208",6043,"CA","Mariposa County",8
"209",6045,"CA","Mendocino County",4
"210",6047,"CA","Merced County",2
"211",6049,"CA","Modoc County",6
"212",6051,"CA","Mono County",7
"213",6053,"CA","Monterey County",2
"214",6055,"CA","Napa County",3
"215",6057,"CA","Nevada County",4
"216",6059,"CA","Orange County",1
"217",6061,"CA","Placer County",1
"218",6063,"CA","Plumas County",7
"219",6065,"CA","Riverside County",1
"220",6067,"CA","Sacramento County",1
"221",6069,"CA","San Benito County",1
"222",6071,"CA","San Bernardino County",1
"223",6073,"CA","San Diego County",1
"224",6075,"CA","San Francisco County",1
"225",6077,"CA","San Joaquin County",2
"226",6079,"CA","San Luis Obispo County",2
"227",6081,"CA","San Mateo County",1
"228",6083,"CA","Santa Barbara County",2
"229",6085,"CA","Santa Clara County",1
"230",6087,"CA","Santa Cruz County",2
"231",6089,"CA","Shasta County",3
"232",6091,"CA","Sierra County",8
"233",6093,"CA","Siskiyou County",6
"234",6095,"CA","Solano County",2
"235",6097,"CA","Sonoma County",2
"236",6099,"CA","Stanislaus County",2
"237",6101,"CA","Sutter County",3
"238",6103,"CA","Tehama County",4
"239",6105,"CA","Trinity County",8
"240",6107,"CA","Tulare County",2
"241",6109,"CA","Tuolumne County",4
"242",6111,"CA","Ventura County",2
"243",6113,"CA","Yolo County",1
"244",6115,"CA","Yuba County",3
"245",8001,"CO","Adams County",1
"246",8003,"CO","Alamosa County",7
"247",8005,"CO","Arapahoe County",1
"248",8007,"CO","Archuleta County",7
"249",8009,"CO","Baca County",9
"250",8011,"CO","Bent County",7
"251",8013,"CO","Boulder County",2
"252",8014,"CO","Broomfield County",1
"253",8015,"CO","Chaffee County",7
"254",8017,"CO","Cheyenne County",9
"255",8019,"CO","Clear Creek County",1
"256",8021,"CO","Conejos County",9
"257",8023,"CO","Costilla County",9
"258",8025,"CO","Crowley County",8
"259",8027,"CO","Custer County",8
"260",8029,"CO","Delta County",6
"261",8031,"CO","Denver County",1
"262",8033,"CO","Dolores County",9
"263",8035,"CO","Douglas County",1
"264",8037,"CO","Eagle County",5
"265",8039,"CO","Elbert County",1
"266",8041,"CO","El Paso County",2
"267",8043,"CO","Fremont County",4
"268",8045,"CO","Garfield County",5
"269",8047,"CO","Gilpin County",1
"270",8049,"CO","Grand County",7
"271",8051,"CO","Gunnison County",7
"272",8053,"CO","Hinsdale County",9
"273",8055,"CO","Huerfano County",6
